"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-"
"Jordan Binnington","STL","G","1","Maualpha","","27","9","99%","+0.1%"
"Marc-Andre Fleury","VGK","G","2","Maualpha","BOS 4<br/>@VGK 3 F","26.4","6.6","99%","0%"
"Tuukka Rask","BOS","G","3","Morgo","BOS 4<br/>@VGK 3 F","24.5","8.17","98%","+0.2%"
"Brock Nelson","NYI","F","4","Timbo","EDM 5<br/>@NYI 2 F","24.4","8.13","72%","+15.2%"
"Connor McDavid","EDM","F","5","Maualpha","EDM 5<br/>@NYI 2 F","22","7.33","100%","0%"
"Jamie Benn","DAL","F","6","ErikErla","DAL 4<br/>@WSH 3 F","22","7.33","93%","+4.5%"
"David Pastrnak","BOS","F","7","Morgo","BOS 4<br/>@VGK 3 F","21.8","7.27","100%","0%"
"Brad Marchand","BOS","F","8","ErikErla","BOS 4<br/>@VGK 3 F","21.6","7.2","100%","0%"
"Aaron Ekblad","FLA","D","9","Morgo","CAR 6<br/>@FLA 3 F","20.6","6.87","90%","+1.2%"
"Frederik Andersen","TOR","G","10","420","","20.3","6.77","100%","-0.1%"
"Ryan Suter","MIN","D","11","ErikErla","","19.4","6.47","69%","+1.1%"
"Pierre-Luc Dubois","CBJ","F","12","420","","19.2","6.4","89%","+4.1%"
"Tyson Barrie","TOR","D","13","MorganBu","","19","6.33","93%","+4.7%"
"Claude Giroux","PHI","F","14","MorganBu","","19","6.33","98%","-0.1%"
"Jake Guentzel","PIT","F","15","SNYD","WPG 4<br/>@PIT 1 F","18.8","6.27","100%","0%"
"Jacob Trouba","NYR","D","16","evanmann","","18.4","6.13","92%","+0.1%"
"Dougie Hamilton","CAR","D","17","Curt","CAR 6<br/>@FLA 3 F","18.4","6.13","99%","0%"
"Brady Tkachuk","OTT","F","18","The_Face","","18.4","6.13","93%","+0.8%"
"Connor Hellebuyck","WPG","G","19","Timbo","WPG 4<br/>@PIT 1 F","18.3","6.1","99%","+0.3%"
"Andre Burakovsky","COL","F","20","420","","17.6","5.87","76%","+19.3%"
"John Carlson","WSH","D","21","Morgo","DAL 4<br/>@WSH 3 F","17.6","5.87","100%","0%"
"Patrick Kane","CHI","F","22","evanmann","","17.4","4.35","100%","0%"
"Artemi Panarin","NYR","F","23","Maualpha","","17.4","5.8","98%","+0.3%"
"Jacob Markstrom","VAN","G","24","ErikErla","","17.4","5.8","86%","-1.3%"
"Logan Couture","SJ","F","25","The_Face","SJ 2<br/>@NSH 5 F","17.2","5.73","96%","+1.3%"
"Evgeni Malkin","PIT","F","26","evanmann","WPG 4<br/>@PIT 1 F","17","5.67","98%","+0.3%"
"Max Pacioretty","VGK","F","27","MorganBu","BOS 4<br/>@VGK 3 F","17","4.25","96%","+0.1%"
"Quinn Hughes","VAN","D","28","The_Face","","17","5.67","95%","+1.1%"
"Sergei Bobrovsky","FLA","G","29","Curt","CAR 6<br/>@FLA 3 F","16.9","5.63","95%","-0.3%"
"Elias Pettersson","VAN","F","30","Maualpha","","16.8","5.6","100%","0%"
"Brayden Point","TB","F","31","SNYD","","16.6","5.53","99%","-0.5%"
"Victor Hedman","TB","D","32","The_Face","","16.6","5.53","99%","-0.1%"
"Andrei Vasilevskiy","TB","G","33","Curt","","16.2","8.1","100%","-0.1%"
"Zach Werenski","CBJ","D","34","420","","16.2","5.4","91%","+3.7%"
"Jean-Gabriel Pageau","OTT","F","35","SNYD","","16","5.33","75%","+5.6%"
"William Karlsson","VGK","F","36","The_Face","BOS 4<br/>@VGK 3 F","15.8","3.95","97%","+0.4%"
"Patrice Bergeron","BOS","F","37","evanmann","BOS 4<br/>@VGK 3 F","15.8","7.9","100%","-0.1%"
"Ben Bishop","DAL","G","38","MorganBu","DAL 4<br/>@WSH 3 F","15.8","7.9","98%","+0.4%"
"Drew Doughty","LA","D","39","420","LA 4<br/>@CGY 3 F","15.6","5.2","92%","+0.4%"
"Shea Theodore","VGK","D","40","MorganBu","BOS 4<br/>@VGK 3 F","15.4","3.85","82%","+0.1%"
"Anthony Beauvillier","NYI","F","41","Curt","EDM 5<br/>@NYI 2 F","15.4","5.13","53%","+20.2%"
"Cale Makar","COL","D","42","Maualpha","","15.2","5.07","99%","+0.1%"
"Teuvo Teravainen","CAR","F","43","Maualpha","CAR 6<br/>@FLA 3 F","15.2","5.07","99%","+0.6%"
"Miro Heiskanen","DAL","D","44","SNYD","DAL 4<br/>@WSH 3 F","15","5","97%","+1%"
"David Krejci","BOS","F","45","evanmann","BOS 4<br/>@VGK 3 F","15","5","65%","+9%"
"Seth Jones","CBJ","D","46","ErikErla","","14.8","4.93","97%","+0.2%"
"Brock Boeser","VAN","F","47","Maualpha","","14.4","4.8","100%","0%"
"Torey Krug","BOS","D","48","Timbo","BOS 4<br/>@VGK 3 F","14.2","14.2","99%","+0.1%"
"Braden Holtby","WSH","G","49","The_Face","DAL 4<br/>@WSH 3 F","14.1","4.7","99%","0%"
"Mark Stone","VGK","F","50","ErikErla","BOS 4<br/>@VGK 3 F","14","3.5","99%","-0.4%"
"Andrei Svechnikov","CAR","F","51","evanmann","CAR 6<br/>@FLA 3 F","14","4.67","98%","+0.3%"
"Nathan MacKinnon","COL","F","52","The_Face","","13.4","4.47","100%","0%"
"Petr Mrazek","CAR","G","53","420","CAR 6<br/>@FLA 3 F","13.4","4.47","95%","+0.2%"
"J.T. Miller","VAN","F","54","Curt","","13.4","4.47","95%","+0.2%"
"Oscar Klefbom","EDM","D","55","Timbo","EDM 5<br/>@NYI 2 F","13.4","4.47","94%","+0.7%"
"Bryan Rust","PIT","F","56","ErikErla","WPG 4<br/>@PIT 1 F","13.4","4.47","58%","+12.7%"
"Aleksander Barkov","FLA","F","57","Timbo","CAR 6<br/>@FLA 3 F","13.4","4.47","100%","0%"
"Thomas Chabot","OTT","D","58","420","","13.4","4.47","98%","-0.1%"
"Morgan Frost","PHI","F","59","Timbo","","13.2","4.4","54%","+22.4%"
"Bo Horvat","VAN","F","60","SNYD","","13.2","4.4","95%","-0.1%"
"Tyler Seguin","DAL","F","61","The_Face","DAL 4<br/>@WSH 3 F","12.8","4.27","98%","0%"
"Sebastian Aho","CAR","F","62","Curt","CAR 6<br/>@FLA 3 F","12.8","4.27","99%","0%"
"Jack Eichel","BUF","F","63","Timbo","","12.4","4.13","100%","0%"
"David Perron","STL","F","64","Morgo","","12.4","4.13","90%","+0.7%"
"Alex Pietrangelo","STL","D","65","evanmann","","12.2","4.07","98%","0%"
"Rickard Rakell","ANA","F","66","Curt","ANA 3<br/>@DET 1 F","12.2","4.07","90%","+0.6%"
"Leon Draisaitl","EDM","F","67","SNYD","EDM 5<br/>@NYI 2 F","11.8","3.93","100%","0%"
"Nikolaj Ehlers","WPG","F","68","ErikErla","WPG 4<br/>@PIT 1 F","11.6","3.87","90%","+0.4%"
"Henrik Lundqvist","NYR","G","69","SNYD","","11.5","5.75","68%","-0.7%"
"Taylor Hall","NJ","F","70","ErikErla","","11.4","3.8","99%","-0.2%"
"Mikhail Sergachev","TB","D","71","MorganBu","","11.4","3.8","88%","-0.1%"
"Cam Atkinson","CBJ","F","72","MorganBu","","11.4","3.8","86%","-0.3%"
"Jake Muzzin","TOR","D","73","SNYD","","11.2","3.73","88%","-0.1%"
"Jonathan Toews","CHI","F","74","ErikErla","","11.2","2.8","73%","-1.5%"
"Roman Josi","NSH","D","75","Timbo","SJ 2<br/>@NSH 5 F","11.2","3.73","100%","0%"
"Travis Konecny","PHI","F","76","Curt","","11","3.67","92%","+0.1%"
"Auston Matthews","TOR","F","77","MorganBu","","11","3.67","100%","0%"
"Anze Kopitar","LA","F","78","MorganBu","LA 4<br/>@CGY 3 F","11","3.67","93%","+0.5%"
"Ryan Getzlaf","ANA","F","79","Timbo","ANA 3<br/>@DET 1 F","10.8","3.6","80%","+0.2%"
"Jonathan Marchessault","VGK","F","80","Morgo","BOS 4<br/>@VGK 3 F","10.2","2.55","95%","-0.2%"
"Max Domi","MON","F","81","Timbo","","10.2","3.4","93%","-0.8%"
"Tom Wilson","WSH","F","82","SNYD","DAL 4<br/>@WSH 3 F","10","3.33","89%","0%"
"Patrik Laine","WPG","F","83","Maualpha","WPG 4<br/>@PIT 1 F","10","3.33","100%","-0.1%"
"Shea Weber","MON","D","84","MorganBu","","10","3.33","97%","+0.2%"
"Darnell Nurse","EDM","D","85","The_Face","EDM 5<br/>@NYI 2 F","10","3.33","89%","-1.9%"
"Ivan Provorov","PHI","D","86","Morgo","","9.8","3.27","92%","+0.5%"
"Mikko Koskinen","EDM","G","87","The_Face","EDM 5<br/>@NYI 2 F","9.6","4.8","76%","+2.5%"
"Mattias Ekholm","NSH","D","88","Maualpha","SJ 2<br/>@NSH 5 F","9.4","3.13","91%","-0.6%"
"Brent Burns","SJ","D","89","ErikErla","SJ 2<br/>@NSH 5 F","9.4","3.13","100%","-0.1%"
"Anthony Mantha","DET","F","90","evanmann","ANA 3<br/>@DET 1 F","9.4","3.13","99%","0%"
"Kyle Palmieri","NJ","F","91","Curt","","9.4","3.13","81%","-1.2%"
"Jonathan Quick","LA","G","92","MorganBu","LA 4<br/>@CGY 3 F","9.3","4.65","52%","+0.3%"
"Ryan Ellis","NSH","D","93","Maualpha","SJ 2<br/>@NSH 5 F","9.2","3.07","97%","+0.1%"
"David Rittich","CGY","G","94","Maualpha","LA 4<br/>@CGY 3 F","9","3","95%","-0.3%"
"Joel Armia","MON","F","95","Morgo","","9","3","45%","-3.4%"
"Jonathan Huberdeau","FLA","F","96","evanmann","CAR 6<br/>@FLA 3 F","9","3","100%","0%"
"Alexander Edler","VAN","D","97","evanmann","","9","3","87%","+0.1%"
"Brayden Schenn","STL","F","98","Maualpha","","8.8","2.93","98%","0%"
"Rasmus Ristolainen","BUF","D","99","Curt","","8.8","2.93","87%","+0.1%"
"Jakub Vrana","WSH","F","100","420","DAL 4<br/>@WSH 3 F","8.8","2.93","85%","-0.8%"
"Blake Wheeler","WPG","F","101","Curt","WPG 4<br/>@PIT 1 F","8.6","2.87","97%","-0.6%"
"Timo Meier","SJ","F","102","Morgo","SJ 2<br/>@NSH 5 F","8.6","2.87","93%","-0.6%"
"Robin Lehner","CHI","G","103","Timbo","","8.6","4.3","76%","+0.3%"
"Jaden Schwartz","STL","F","104","Timbo","","8.6","2.87","71%","+0.4%"
"Mathew Barzal","NYI","F","105","420","EDM 5<br/>@NYI 2 F","8.4","2.8","98%","+0.2%"
"Evgeny Kuznetsov","WSH","F","106","SNYD","DAL 4<br/>@WSH 3 F","8.4","2.8","99%","+0.2%"
"Phil Kessel","ARI","F","107","Morgo","","8.2","2.73","86%","-2.1%"
"William Nylander","TOR","F","108","420","","8","2.67","95%","-0.6%"
"Ryan Strome","NYR","F","109","The_Face","","8","2.67","76%","+1.4%"
"Evander Kane","SJ","F","110","The_Face","SJ 2<br/>@NSH 5 F","7.8","2.6","97%","+0.6%"
"Nazem Kadri","COL","F","111","420","","7.8","2.6","85%","+0.2%"
"Alex DeBrincat","CHI","F","112","Maualpha","","7.6","1.9","99%","-0.2%"
"Alex Ovechkin","WSH","F","113","SNYD","DAL 4<br/>@WSH 3 F","7.6","2.53","100%","0%"
"Elias Lindholm","CGY","F","114","Timbo","LA 4<br/>@CGY 3 F","7.6","1.9","99%","-0.6%"
"Martin Jones","SJ","G","115","evanmann","SJ 2<br/>@NSH 5 F","7.4","3.7","89%","+0.1%"
"Erik Gustafsson","CHI","D","116","SNYD","","7.4","1.85","78%","-0.8%"
"Semyon Varlamov","NYI","G","117","Morgo","EDM 5<br/>@NYI 2 F","7.4","3.7","80%","-0.5%"
"Victor Olofsson","BUF","F","118","ErikErla","","7.4","2.47","78%","+0.3%"
"Philipp Grubauer","COL","G","119","The_Face","","7.3","2.43","98%","-0.4%"
"Kyle Connor","WPG","F","120","420","WPG 4<br/>@PIT 1 F","7.2","2.4","92%","-0.4%"
"Patric Hornqvist","PIT","F","121","ErikErla","WPG 4<br/>@PIT 1 F","7.2","3.6","58%","+2.2%"
"Tyler Bertuzzi","DET","F","122","Morgo","ANA 3<br/>@DET 1 F","7.2","2.4","84%","-0.5%"
"Evgenii Dadonov","FLA","F","123","Maualpha","CAR 6<br/>@FLA 3 F","7","2.33","97%","+0.2%"
"Mike Hoffman","FLA","F","124","ErikErla","CAR 6<br/>@FLA 3 F","6.8","2.27","96%","-0.1%"
"Vincent Trocheck","FLA","F","125","evanmann","CAR 6<br/>@FLA 3 F","6.6","2.2","86%","-2.5%"
"Nikita Kucherov","TB","F","126","Morgo","","6.2","3.1","100%","0%"
"Kevin Shattenkirk","TB","D","127","ErikErla","","6.2","2.07","91%","+0.5%"
"Viktor Arvidsson","NSH","F","128","Timbo","SJ 2<br/>@NSH 5 F","6.2","2.07","90%","-4.6%"
"Mark Scheifele","WPG","F","129","evanmann","WPG 4<br/>@PIT 1 F","6","2","100%","-0.2%"
"Mark Giordano","CGY","D","130","420","LA 4<br/>@CGY 3 F","6","1.5","99%","-0.4%"
"Matt Dumba","MIN","D","131","evanmann","","6","2","89%","-0.4%"
"Sami Vatanen","NJ","D","132","evanmann","","6","2","39%","-1.3%"
"Filip Forsberg","NSH","F","133","The_Face","SJ 2<br/>@NSH 5 F","5.8","1.93","99%","-0.1%"
"Sean Couturier","PHI","F","134","Curt","","5.8","1.93","96%","-0.5%"
"James Neal","EDM","F","135","Curt","EDM 5<br/>@NYI 2 F","5.8","1.93","82%","-3.9%"
"Reilly Smith","VGK","F","136","MorganBu","BOS 4<br/>@VGK 3 F","5.8","1.45","82%","-2%"
"Thomas Greiss","NYI","G","137","SNYD","EDM 5<br/>@NYI 2 F","5.7","5.7","77%","+2%"
"Brendan Gallagher","MON","F","138","Curt","","5.6","1.87","94%","-0.5%"
"Mike Smith","EDM","G","139","SNYD","EDM 5<br/>@NYI 2 F","5.3","2.65","72%","-2.2%"
"Neal Pionk","WPG","D","140","Morgo","WPG 4<br/>@PIT 1 F","5.2","1.73","74%","-3.7%"
"Matthew Tkachuk","CGY","F","141","Morgo","LA 4<br/>@CGY 3 F","5.2","1.3","99%","0%"
"Rasmus Dahlin","BUF","D","142","Timbo","","5.2","1.73","98%","-0.5%"
"Matt Duchene","NSH","F","143","ErikErla","SJ 2<br/>@NSH 5 F","5.2","1.73","94%","-0.8%"
"Alexander Radulov","DAL","F","144","evanmann","DAL 4<br/>@WSH 3 F","4.8","1.6","93%","-1.3%"
"Clayton Keller","ARI","F","145","Maualpha","","4.8","1.6","82%","-2.6%"
"Jakob Silfverberg","ANA","F","146","The_Face","ANA 3<br/>@DET 1 F","4.6","1.53","65%","-2.4%"
"Sean Monahan","CGY","F","147","420","LA 4<br/>@CGY 3 F","4.6","1.15","99%","-0.5%"
"Ryan Nugent-Hopkins","EDM","F","148","Morgo","EDM 5<br/>@NYI 2 F","4.2","1.4","92%","-2.5%"
"Dylan Larkin","DET","F","149","Timbo","ANA 3<br/>@DET 1 F","4","1.33","98%","-0.6%"
"John Klingberg","DAL","D","150","Curt","DAL 4<br/>@WSH 3 F","4","4","92%","+0.3%"
"John Tavares","TOR","F","151","420","","3.8","1.27","99%","-0.1%"
"Dylan Strome","CHI","F","152","MorganBu","","3.8","0.95","78%","-3.7%"
"Jakub Voracek","PHI","F","153","evanmann","","3.8","1.27","80%","-2.9%"
"Oliver Ekman-Larsson","ARI","D","154","SNYD","","3.6","1.2","89%","-2%"
"P.K. Subban","NJ","D","155","SNYD","","3.6","1.2","87%","-2.8%"
"Roope Hintz","DAL","F","156","420","DAL 4<br/>@WSH 3 F","3.6","3.6","77%","+1.1%"
"Erik Karlsson","SJ","D","157","evanmann","SJ 2<br/>@NSH 5 F","3.4","1.13","96%","-0.3%"
"T.J. Oshie","WSH","F","158","MorganBu","DAL 4<br/>@WSH 3 F","3.2","1.07","89%","-2%"
"Nicklas Backstrom","WSH","F","159","MorganBu","DAL 4<br/>@WSH 3 F","3.2","3.2","97%","-0.6%"
"Morgan Rielly","TOR","D","160","420","","3","1","100%","-0.1%"
"Ryan OReilly","STL","F","161","Curt","","2.8","0.93","98%","-0.3%"
"Josh Morrissey","WPG","D","162","The_Face","WPG 4<br/>@PIT 1 F","2.4","0.8","90%","-0.8%"
"Joe Pavelski","DAL","F","163","SNYD","DAL 4<br/>@WSH 3 F","2.4","0.8","80%","-1.3%"
"Johnny Gaudreau","CGY","F","164","ErikErla","LA 4<br/>@CGY 3 F","2.2","0.55","99%","-0.2%"
"Jack Hughes","NJ","F","165","MorganBu","","2.2","0.73","87%","-2.1%"
"Darcy Kuemper","ARI","G","166","Morgo","","2.1","2.1","89%","+0.7%"
"Keith Yandle","FLA","D","167","Curt","CAR 6<br/>@FLA 3 F","2","0.67","98%","+0.1%"
"Jeff Skinner","BUF","F","168","SNYD","","1.2","0.4","91%","-0.9%"
"Tony DeAngelo","NYR","D","169","Timbo","","1.2","0.4","82%","+0.4%"
"Tomas Tatar","MON","F","170","The_Face","","1.2","0.4","81%","0%"
"Steven Stamkos","TB","F","171","MorganBu","","1","0.5","100%","0%"
"Sam Reinhart","BUF","F","172","Morgo","","0.8","0.27","90%","-1.3%"
"Tomas Hertl","SJ","F","173","Maualpha","SJ 2<br/>@NSH 5 F","0.6","0.6","99%","-0.1%"
"Mikko Rantanen","COL","F","174","Curt","","0","0","99%","-0.1%"
"Sidney Crosby","PIT","F","175","Timbo","WPG 4<br/>@PIT 1 F","0","0","99%","-0.4%"
"Mitchell Marner","TOR","F","176","SNYD","","0","0","99%","0%"
"Kris Letang","PIT","D","177","The_Face","WPG 4<br/>@PIT 1 F","0","0","98%","+0.1%"
"Mika Zibanejad","NYR","F","178","Timbo","","0","0","98%","-0.5%"
"Gabriel Landeskog","COL","F","179","Morgo","","0","0","96%","-0.3%"
"Carter Hart","PHI","G","180","ErikErla","","0","0","93%","-1.4%"
"Vladimir Tarasenko","STL","F","181","The_Face","","0","0","83%","-1.1%"
"Jaroslav Halak","BOS","G","182","evanmann","BOS 4<br/>@VGK 3 F","0","0","58%","-0.9%"
"Dustin Byfuglien","WPG","D","183","Maualpha","WPG 4<br/>@PIT 1 F","0","0","56%","-1.4%"
"Erik Haula","CAR","F","184","420","CAR 6<br/>@FLA 3 F","0","0","49%","-9.4%"
"Matt Murray","PIT","G","185","MorganBu","WPG 4<br/>@PIT 1 F","-0.3","-0.15","98%","-0.3%"
"John Gibson","ANA","G","186","Curt","ANA 3<br/>@DET 1 F","-1.9","-0.95","92%","-1.4%"
"Carey Price","MON","G","187","420","","-2.7","-0.9","95%","-0.2%"
"Pekka Rinne","NSH","G","188","ErikErla","SJ 2<br/>@NSH 5 F","-4.1","-4.1","98%","-0.5%"